APP_Libelle_activite_etablissement,Synthese_eval_sanit,ods_type_activite,latitude,longitude,semaine,jour
Alimentation générale,A améliorer,Autres,45.860995,3.421337,8,1
Boulangerie-Pâtisserie,Très satisfaisant,Autres,45.119863,5.672716,34,3
Boulangerie-Pâtisserie,Très satisfaisant,Autres,45.757115,4.82847,11,3
Poissonnerie,Satisfaisant,Autres,45.164227,5.740647,10,2
Restaurant,Satisfaisant,Autres,45.931308,6.878061,6,3
Restaurant,A améliorer,Autres,45.567279,5.922971,5,4
Restaurant,Très satisfaisant,Autres,45.573173,2.810772,14,2
Poissonnerie,Très satisfaisant,Autres,45.153328,5.320938,36,3
Restaurant,Très satisfaisant,Autres,45.819124,3.107773,26,3
Restaurant,Satisfaisant,Autres,45.752429,4.828703,11,3
Boulangerie-Pâtisserie,A améliorer,Autres,45.207751,5.75951,6,4
Restaurant,Satisfaisant,Autres,45.748295,4.838581,11,3
Boulangerie-Pâtisserie,Satisfaisant,Autres,45.185101,5.772069,11,2
Restaurant,Satisfaisant,Autres,45.033746,3.110538,9,5
Restaurant,Très satisfaisant,Autres,44.736079,4.601541,49,4
Restaurant,Satisfaisant,Autres,45.655221,5.864627,31,4
Restaurant,Satisfaisant,Autres,45.775077,3.0802,9,2
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.145948,4.125918,40,4
Restauration collective,Très satisfaisant,Autres,45.866568,5.936908,15,2
Rayon poissonnerie,Satisfaisant,Autres,46.399133,6.676069,29,3
Restauration collective,Satisfaisant,Autres,44.754681,5.371523,13,2
Entreposage de distribution de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,45.781248,4.93095,28,1
Restauration collective,Très satisfaisant,Autres,45.777158,3.067145,35,2
Libre service|Alimentation générale,Satisfaisant,Autres,45.753846,4.782299,2,2
Restauration collective,Très satisfaisant,Autres,46.203881,5.227842,12,4
Boucherie-Charcuterie,A améliorer,Autres,46.075379,6.669756,14,2
Restauration collective,Très satisfaisant,Autres,46.601663,3.672876,6,5
Restaurant,Satisfaisant,Autres,45.754294,4.842091,4,5
Restaurant,Satisfaisant,Autres,45.753065,4.829281,40,3
Restaurant,Très satisfaisant,Autres,45.759949,4.835282,43,3
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,44.929122,4.38991,12,2
Restaurant,Satisfaisant,Autres,45.746775,4.861173,1,4
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.57447,5.61613,38,5
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,46.031474,4.093913,46,4
Restauration collective,Très satisfaisant,Autres,46.288248,6.81271,8,4
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.230286,4.667303,18,2
Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,Abattoirs,46.072976,4.101096,29,4
Restaurant,Très satisfaisant,Autres,44.379058,4.693105,8,1
Producteur fermier,Très satisfaisant,Autres,46.032115,3.559506,8,5
Producteur fermier,Très satisfaisant,Autres,44.717323,4.358793,43,1
Restauration collective,Satisfaisant,Autres,45.056564,5.088915,6,2
Mareyage et préparation de produits de la pêche,Très satisfaisant,Produits de la mer et d'eau douce,45.781248,4.93095,28,1
Découpe de viande de boucherie,Très satisfaisant,Viandes et produits carnés,45.781248,4.93095,28,1
Restaurant,Très satisfaisant,Autres,45.033013,4.061681,35,2
Restaurant,Satisfaisant,Autres,44.406104,4.391872,36,2
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.578525,4.438996,18,5
Producteur fermier,Satisfaisant,Autres,44.992729,3.417728,16,2
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,44.764894,4.997418,42,2
Caves d'affinage,Très satisfaisant,Lait et produits laitiers,45.562393,3.758125,51,2
Restaurant,A améliorer,Autres,45.52117,2.939358,8,2
