APP_Libelle_activite_etablissement,Synthese_eval_sanit,ods_type_activite,latitude,longitude,semaine,jour
Restaurant,Satisfaisant,Autres,48.800466,2.40187,25,1
Restaurant,Satisfaisant,Autres,48.847798,2.552756,10,2
Restaurant,Satisfaisant,Autres,48.880336,2.299252,36,1
"VH, VSM, préparation viandes boucherie",Très satisfaisant,Viandes et produits carnés,48.962061,2.371479,40,3
Restaurant,Très satisfaisant,Autres,48.887908,2.392279,34,3
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,48.962061,2.371479,40,3
Restauration collective,Satisfaisant,Autres,48.921565,2.422638,22,2
Restaurant,Satisfaisant,Autres,48.867957,2.33624,44,3
Restauration collective,Satisfaisant,Autres,48.589955,2.243453,47,1
Découpe de viande de boucherie,Très satisfaisant,Viandes et produits carnés,48.962061,2.371479,40,3
Restaurant,Satisfaisant,Autres,48.871091,2.309104,10,5
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,49.002983,3.051413,40,5
Restaurant,Satisfaisant,Autres,48.87163,2.356951,45,1
Restaurant,Satisfaisant,Autres,48.670797,2.277314,7,1
Restauration collective,Satisfaisant,Autres,48.908946,2.292191,42,4
Restaurant,Satisfaisant,Autres,48.886629,2.344367,30,5
Restaurant,A améliorer,Autres,48.817104,2.379363,45,2
Restaurant,Très satisfaisant,Autres,48.844573,2.296711,43,4
Restauration collective,Satisfaisant,Autres,48.991178,2.322311,9,2
Restaurant,Très satisfaisant,Autres,48.879603,2.396652,19,3
Traiteur,Très satisfaisant,Autres,48.875394,2.391695,10,5
Boulangerie-Pâtisserie,Satisfaisant,Autres,48.843683,2.282797,13,2
Restauration collective,Satisfaisant,Autres,48.99127,1.963861,29,5
Restaurant,A améliorer,Autres,48.791468,2.462421,45,2
Restaurant,Satisfaisant,Autres,48.930345,2.539918,11,2
Restaurant,Satisfaisant,Autres,48.860165,2.30746,12,4
Restaurant,Satisfaisant,Autres,48.872092,2.354057,6,1
Restaurant,Satisfaisant,Autres,48.823922,2.352733,45,2
Libre service|Alimentation générale,Très satisfaisant,Autres,48.889047,2.457533,43,2
Restauration collective,Très satisfaisant,Autres,48.77678,2.376257,1,2
Libre service|Alimentation générale,Très satisfaisant,Autres,48.8837,2.33365,45,2
Restauration collective,Satisfaisant,Autres,48.843568,2.314364,11,1
Restaurant,Satisfaisant,Autres,48.87163,2.356951,44,5
Restaurant,Satisfaisant,Autres,48.831922,2.30296,10,5
Restaurant,Satisfaisant,Autres,48.91169,2.549918,20,4
Restauration collective,Satisfaisant,Autres,48.903003,2.209615,6,5
Restauration collective,Satisfaisant,Autres,48.783495,2.227714,46,4
Restaurant,A améliorer,Autres,48.977494,2.371429,45,2
Restauration collective,Très satisfaisant,Autres,48.890875,2.335686,22,3
Restauration collective,Satisfaisant,Autres,48.882486,2.289295,14,1
Restauration collective,Satisfaisant,Autres,48.933166,2.213301,44,3
Restaurant,Satisfaisant,Autres,48.865377,2.35745,10,4
Restauration collective,Très satisfaisant,Autres,48.891057,2.319059,2,4
Restaurant,Très satisfaisant,Autres,48.847096,2.29361,43,5
Entreposage de distribution de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.758636,2.358019,49,5
Restaurant,Satisfaisant,Autres,48.849573,2.354712,6,5
Autres,Très satisfaisant,Autres,48.875331,2.312561,1,1
Alimentation générale,Très satisfaisant,Autres,48.864497,2.340841,4,5
Libre service,Satisfaisant,Autres,48.875331,2.312561,1,1
Restaurant,A améliorer,Autres,48.858397,2.437758,45,2
Restaurant,Satisfaisant,Autres,48.809995,2.132841,39,2
Restauration collective,Satisfaisant,Autres,48.864189,2.292904,48,2
Découpe de viandes de volailles/lagomorphe,Très satisfaisant,Viandes et produits carnés,48.962061,2.371479,40,3
Restaurant,Satisfaisant,Autres,48.861766,2.278459,26,2
Restauration collective,Très satisfaisant,Autres,48.807354,2.580106,17,5
Mareyage et préparation de produits de la pêche,Très satisfaisant,Produits de la mer et d'eau douce,48.750506,2.343308,10,4
Restauration collective,Satisfaisant,Autres,48.780373,2.24669,31,4
Restaurant,Très satisfaisant,Autres,48.837508,2.383155,36,5
Restaurant,Satisfaisant,Autres,48.856004,2.358894,44,3
Restaurant,Très satisfaisant,Autres,48.853332,2.333938,11,2
Restauration collective,Satisfaisant,Autres,48.864189,2.292904,48,2
Restauration collective,Satisfaisant,Autres,48.794586,2.381045,18,1
Restaurant,A améliorer,Autres,48.598229,2.465045,45,3
Restaurant,Satisfaisant,Autres,48.875169,2.34116,45,2
Traiteur,Satisfaisant,Autres,48.879065,2.422088,47,1
Restaurant,Satisfaisant,Autres,48.837491,2.345245,11,2
Boucherie-Charcuterie,Très satisfaisant,Autres,48.859,2.347,10,5
Restaurant,Très satisfaisant,Autres,48.876921,2.353162,45,3
Restaurant,A améliorer,Autres,48.851338,2.397921,45,3
Restaurant,Très satisfaisant,Autres,48.844372,2.321791,4,2
Restauration collective,Satisfaisant,Autres,48.477512,2.70286,48,1
Restaurant,Satisfaisant,Autres,48.977832,2.369432,47,5
Restaurant,Satisfaisant,Autres,48.865757,2.377142,38,1
Alimentation générale,Très satisfaisant,Autres,48.846581,2.286744,19,2
Libre service|Alimentation générale,Très satisfaisant,Autres,48.88255,2.339749,4,3
Libre service|Alimentation générale,Satisfaisant,Autres,48.903649,2.333534,11,5
Restaurant,Satisfaisant,Autres,48.82898,2.300756,44,1
Producteur fermier,Très satisfaisant,Autres,49.002983,3.051413,38,3
Transformation de lait ou produits laitiers,A améliorer,Lait et produits laitiers,48.996473,2.067917,4,2
Restauration collective,Très satisfaisant,Autres,48.78441,2.398751,46,4
Restaurant,Très satisfaisant,Autres,48.870907,2.34128,38,4
Traiteur,Satisfaisant,Autres,48.880664,2.430849,47,4
Restaurant,A améliorer,Autres,48.823425,2.510236,45,2
Restaurant,Satisfaisant,Autres,48.87734,2.344998,11,2
Restauration collective,Satisfaisant,Autres,48.781352,2.057997,37,5
Restaurant,A améliorer,Autres,48.882502,2.316331,47,3
Restauration collective,Satisfaisant,Autres,48.865951,2.356467,35,2
Boucherie-Charcuterie,Satisfaisant,Autres,48.887704,2.349532,28,3
Alimentation générale,Satisfaisant,Autres,48.890624,2.350902,8,2
Restauration collective,Très satisfaisant,Autres,48.81329,2.540472,6,4
Restaurant,Satisfaisant,Autres,48.837693,2.279934,17,5
Restaurant,Très satisfaisant,Autres,48.883789,2.359107,41,4
Restauration collective,Satisfaisant,Autres,48.987754,2.440198,23,4
Restaurant,Satisfaisant,Autres,48.830092,2.331217,35,4
Autres,Très satisfaisant,Autres,48.860498,2.379011,24,1
Restaurant,Satisfaisant,Autres,48.843482,2.29796,19,4
Libre service|Alimentation générale,Très satisfaisant,Autres,48.831047,2.292639,44,3
Restaurant,A améliorer,Autres,48.817894,2.381277,45,2
Restaurant,Satisfaisant,Autres,48.880658,2.349964,21,3
Restauration collective,Satisfaisant,Autres,48.803452,2.265647,11,2
Restauration collective,Satisfaisant,Autres,48.73133,2.234441,14,1
Restaurant,A améliorer,Autres,48.87073,2.341629,11,2
Restaurant,Satisfaisant,Autres,48.977832,2.369432,48,2
Restaurant,Satisfaisant,Autres,48.762718,2.308544,45,4
Boucherie-Charcuterie,Satisfaisant,Autres,48.488192,2.353503,11,3
Restaurant,Satisfaisant,Autres,48.91572,2.218036,46,1
Restaurant,Satisfaisant,Autres,48.879355,2.38546,36,3
Restaurant,Très satisfaisant,Autres,48.848116,2.323995,39,5
Restauration collective,Satisfaisant,Autres,48.888727,2.325818,13,4
Restaurant,Satisfaisant,Autres,48.86913,2.371865,45,3
Restaurant,Très satisfaisant,Autres,48.888581,2.317303,11,3
Restauration collective,Satisfaisant,Autres,48.957064,2.383978,19,1
Restaurant,Satisfaisant,Autres,48.869251,2.355993,13,5
Restaurant,Satisfaisant,Autres,48.883275,2.371488,28,2
Restaurant,A améliorer,Autres,48.774322,1.995927,46,2
Restauration collective,Satisfaisant,Autres,48.8604,2.388347,28,2
Restaurant,Très satisfaisant,Autres,48.839515,2.35074,18,1
Transport de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.823487,2.37123,45,3
Restauration collective,Satisfaisant,Autres,48.851134,2.309779,29,5
Restauration collective,Satisfaisant,Autres,48.838352,2.301115,21,1
Restauration collective,Satisfaisant,Autres,48.63901,2.274145,48,2
Restaurant,Très satisfaisant,Autres,48.870065,2.292057,15,4
Restauration collective,A améliorer,Autres,48.836454,2.331946,17,4
Restaurant,Satisfaisant,Autres,48.887037,2.341408,37,4
Restauration collective,Satisfaisant,Autres,48.847669,2.322816,32,2
Restauration collective,Satisfaisant,Autres,48.268465,2.69597,40,2
Restaurant,Très satisfaisant,Autres,48.893785,2.335979,45,4
Restauration collective,Satisfaisant,Autres,48.668836,2.053895,36,2
Restaurant,Satisfaisant,Autres,48.797743,2.508013,50,3
Boucherie-Charcuterie,Satisfaisant,Autres,48.845664,2.529245,10,2
Restaurant,Satisfaisant,Autres,48.766944,2.532423,19,4
Traiteur,Satisfaisant,Autres,48.841946,2.290287,11,3
Restaurant,Satisfaisant,Autres,48.833947,2.316516,37,3
Restaurant,Satisfaisant,Autres,48.855331,2.388087,39,1
Restaurant,Satisfaisant,Autres,48.859,2.347,11,3
Restauration collective,Satisfaisant,Autres,48.732371,2.326258,3,4
Restaurant,A améliorer,Autres,48.914475,2.439943,45,3
Autres,Très satisfaisant,Autres,48.853822,2.396827,2,4
Autres,Très satisfaisant,Autres,48.853822,2.396827,2,4
Autres,Très satisfaisant,Autres,48.853822,2.396827,2,4
Restaurant,Satisfaisant,Autres,48.897064,2.384576,40,3
Libre service,Très satisfaisant,Autres,48.867799,2.385797,7,2
Restaurant,Satisfaisant,Autres,48.828272,2.356909,35,2
Restaurant,A améliorer,Autres,48.806288,2.36902,45,3
Restaurant,Satisfaisant,Autres,48.82071,2.486111,45,2
Restaurant,Très satisfaisant,Autres,48.876366,2.34068,47,1
Rayon poissonnerie,Très satisfaisant,Autres,48.858444,2.38045,49,2
Restaurant,Satisfaisant,Autres,48.83812,2.351844,42,5
Autres,Très satisfaisant,Autres,48.853822,2.396827,2,4
Restaurant,Satisfaisant,Autres,48.869377,2.345292,45,1
Restauration collective,Satisfaisant,Autres,48.894319,2.352625,21,3
Alimentation générale,A améliorer,Autres,48.874528,2.354846,39,2
Boulangerie-Pâtisserie,Très satisfaisant,Autres,48.904606,2.322091,21,2
Restaurant,Satisfaisant,Autres,48.853136,2.41042,12,3
Restaurant,A améliorer,Autres,48.835073,2.320132,45,3
Libre service,Très satisfaisant,Autres,48.858444,2.38045,49,2
Restauration collective,Satisfaisant,Autres,48.861772,2.352522,38,1
Restaurant,Satisfaisant,Autres,48.839166,2.380863,36,5
Restaurant,Très satisfaisant,Autres,48.805212,2.487136,45,2
Restaurant,Satisfaisant,Autres,48.934773,2.566922,32,1
Libre service|Alimentation générale,Satisfaisant,Autres,48.846099,2.279045,11,3
Restaurant,Très satisfaisant,Autres,48.885568,2.250458,11,3
Restaurant,Satisfaisant,Autres,48.889102,2.346516,19,3
Restaurant,Satisfaisant,Autres,48.787936,2.486647,45,2
Restaurant,Satisfaisant,Autres,48.876833,2.352881,45,3
Restaurant,Satisfaisant,Autres,48.876077,2.347618,11,2
Restaurant,Très satisfaisant,Autres,48.897353,2.328721,45,3
Restauration collective,Satisfaisant,Autres,48.775328,2.339956,16,5
Restaurant,Très satisfaisant,Autres,48.88255,2.339749,4,3
Autres,Très satisfaisant,Autres,48.88255,2.339749,4,3
Restaurant,Satisfaisant,Autres,48.82684,2.374251,39,4
Restaurant,A améliorer,Autres,48.87266,2.302391,42,2
Restaurant,Satisfaisant,Autres,48.846414,2.371897,26,2
Restaurant,Satisfaisant,Autres,48.889726,2.403426,39,2
Restaurant,Satisfaisant,Autres,48.877287,2.346107,11,2
Restauration collective,Satisfaisant,Autres,48.786719,2.425557,48,4
Restaurant,A améliorer,Autres,48.830127,2.318783,45,3
Restaurant,Satisfaisant,Autres,48.72773,2.529837,47,4
Restaurant,Satisfaisant,Autres,48.980179,2.374039,45,2
Restauration collective,Satisfaisant,Autres,49.024708,2.237105,45,3
Restaurant,Satisfaisant,Autres,48.895634,2.348733,14,1
Restaurant,Très satisfaisant,Autres,48.836268,2.322427,45,3
Restauration collective,Satisfaisant,Autres,48.851567,2.358394,37,4
Restaurant,Satisfaisant,Autres,48.827316,2.314607,45,3
Restaurant,Satisfaisant,Autres,48.926774,2.33019,29,3
Restaurant,Satisfaisant,Autres,48.869846,2.555273,12,5
Boucherie-Charcuterie,Satisfaisant,Autres,48.841031,2.131201,18,2
Restauration collective,Satisfaisant,Autres,48.891594,2.380341,19,1
Restaurant,Très satisfaisant,Autres,48.87552,2.390636,21,3
Restaurant,Satisfaisant,Autres,48.849123,2.287205,13,2
Restaurant,Satisfaisant,Autres,48.793062,2.462498,11,4
Autres,Très satisfaisant,Autres,48.586531,2.301694,2,3
Restauration collective,Satisfaisant,Autres,48.85528,2.330234,36,4
Restaurant,Satisfaisant,Autres,48.868273,2.291329,43,2
Restauration collective,Très satisfaisant,Autres,48.851678,2.343987,26,3
Restaurant,Très satisfaisant,Autres,48.87646,2.345749,37,4
Restaurant,Satisfaisant,Autres,48.853195,2.382643,46,1
Restauration collective,Satisfaisant,Autres,48.841179,2.262377,13,1
Restaurant,Très satisfaisant,Autres,48.838341,2.393049,4,5
Restaurant,Satisfaisant,Autres,48.861816,2.351831,49,3
Restauration collective,Satisfaisant,Autres,48.863338,2.379219,5,1
Restauration collective,Satisfaisant,Autres,48.893616,2.37901,13,4
Restauration collective,Satisfaisant,Autres,48.833324,2.34591,21,2
Restauration collective,Satisfaisant,Autres,49.127086,2.370765,40,1
Restauration collective,Satisfaisant,Autres,48.850398,2.319099,12,5
Restaurant,Très satisfaisant,Autres,48.79239,2.463411,11,4
Restauration collective,Satisfaisant,Autres,48.848985,2.295973,5,1
Restaurant,Satisfaisant,Autres,48.765434,2.471795,11,4
Restaurant,Satisfaisant,Autres,48.873141,2.339358,24,1
Restaurant,Satisfaisant,Autres,48.871853,2.348413,35,3
Restauration collective,Satisfaisant,Autres,48.819916,2.341837,27,3
Restaurant,Satisfaisant,Autres,48.873448,2.343959,11,4
Restauration collective,Satisfaisant,Autres,48.971504,2.387705,11,5
Restauration collective,Très satisfaisant,Autres,48.436052,2.158035,24,1
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,48.910129,1.912401,25,4
Restaurant,Satisfaisant,Autres,48.859307,2.348891,10,2
Restaurant,Satisfaisant,Autres,48.889297,2.319273,11,4
Restauration collective,Satisfaisant,Autres,48.880825,2.352529,40,3
Entreposage de distribution de denrées alimentaires,Satisfaisant,Transport et entreposage de denrées alimentaires,48.759396,2.359427,39,1
Restauration collective,Satisfaisant,Autres,48.894002,2.07537,41,5
Transport de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.759396,2.359427,39,1
Restaurant,Très satisfaisant,Autres,48.838278,2.48918,47,3
Autres,Très satisfaisant,Autres,48.893785,2.335979,45,4
Restauration collective,Satisfaisant,Autres,48.916698,2.315309,14,4
Transport de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.916698,2.315309,14,4
Restauration collective,Très satisfaisant,Autres,48.848902,2.326641,13,3
Restaurant,Satisfaisant,Autres,48.841086,2.3623,16,4
Restauration collective,Satisfaisant,Autres,48.893407,2.434791,24,2
Boucherie-Charcuterie,Très satisfaisant,Autres,48.832371,2.287205,17,4
Restaurant,A améliorer,Autres,48.856999,2.358822,44,3
Transport de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.910543,2.550348,8,3
Restaurant,Très satisfaisant,Autres,48.867197,2.336048,18,4
Restaurant,Satisfaisant,Autres,48.878339,2.355745,42,4
Restaurant,Satisfaisant,Autres,48.875951,2.273544,19,4
Restaurant,Satisfaisant,Autres,48.870366,2.356202,40,1
Boucherie-Charcuterie,Satisfaisant,Autres,48.88168,2.419609,11,3
Restauration collective,Satisfaisant,Autres,48.870211,2.378006,45,2
Restaurant,Très satisfaisant,Autres,48.8491,2.371086,10,2
Restaurant,Satisfaisant,Autres,48.842192,2.325672,11,4
Restaurant,Satisfaisant,Autres,48.697263,2.502734,10,4
Restauration collective,Très satisfaisant,Autres,48.691622,2.530251,41,2
Restaurant,Très satisfaisant,Autres,48.852053,2.33878,11,5
Restaurant,Satisfaisant,Autres,48.837693,2.279934,46,2
Restaurant,A améliorer,Autres,48.838209,2.35156,47,2
Restauration collective,Très satisfaisant,Autres,48.827281,2.002702,4,2
Boucherie-Charcuterie,Satisfaisant,Autres,48.626591,2.430435,29,2
Restaurant,Satisfaisant,Autres,48.870761,2.300644,10,2
Restauration collective,Satisfaisant,Autres,48.880938,2.303595,13,2
Restaurant,Satisfaisant,Autres,48.851156,2.344764,46,1
Entreposage de distribution de denrées alimentaires,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.748355,2.391395,33,4
Boucherie-Charcuterie,A améliorer,Autres,48.627362,2.433066,45,3
Restaurant,Satisfaisant,Autres,48.850243,2.381975,44,5
Restaurant,Satisfaisant,Autres,48.843717,2.354422,48,2
Restauration collective,Satisfaisant,Autres,48.924893,2.403623,22,4
Restaurant,Satisfaisant,Autres,48.887742,2.360017,10,5
Restaurant,Satisfaisant,Autres,48.865682,2.377787,7,4
Restaurant,Très satisfaisant,Autres,48.84104,2.387344,37,5
Restaurant,Satisfaisant,Autres,48.843665,2.295291,7,4
Libre service|Alimentation générale,Très satisfaisant,Autres,48.893124,2.335888,45,4
Restaurant,Satisfaisant,Autres,48.840995,2.404262,44,5
Restauration collective,Très satisfaisant,Autres,48.564599,2.445241,24,2
Restauration collective,Satisfaisant,Autres,48.815486,2.480017,30,3
Autres,Très satisfaisant,Autres,48.832371,2.287205,17,4
Restaurant,Satisfaisant,Autres,48.859,2.347,31,4
Libre service,A améliorer,Autres,48.889742,2.349977,11,2
Restaurant,Satisfaisant,Autres,48.848507,2.364954,29,5
Restauration collective,Satisfaisant,Autres,48.906027,2.276829,26,3
Poissonnerie,Satisfaisant,Autres,48.88168,2.419609,11,3
Boulangerie-Pâtisserie,Satisfaisant,Autres,48.87311,2.36164,10,1
Restaurant,Satisfaisant,Autres,48.882316,2.304486,34,4
Traiteur,Satisfaisant,Autres,48.614851,3.183296,3,2
Restaurant,Très satisfaisant,Autres,48.878074,2.285125,36,3
Transformation de produits de la pêche,Satisfaisant,Produits de la mer et d'eau douce,48.905932,2.384125,2,4
Restauration collective,Très satisfaisant,Autres,48.801169,2.442037,26,2
Autres,A améliorer,Autres,48.980446,2.181351,45,3
Restauration collective,Très satisfaisant,Autres,48.819548,2.406417,22,3
Restauration collective,Très satisfaisant,Autres,48.846337,2.455661,46,3
Restauration collective,Satisfaisant,Autres,49.03586,1.577588,44,3
Restaurant,Satisfaisant,Autres,48.825894,2.322606,46,3
Boucherie-Charcuterie,Très satisfaisant,Autres,48.826723,2.330457,10,5
Restauration collective,Satisfaisant,Autres,48.870023,2.388938,36,3
Restaurant,Satisfaisant,Autres,48.792661,2.36612,44,4
Restauration collective,Satisfaisant,Autres,48.877346,2.411742,29,3
Boulangerie-Pâtisserie,Très satisfaisant,Autres,48.826723,2.330457,10,5
Restaurant,Satisfaisant,Autres,48.793001,2.462578,28,1
Restauration collective,Satisfaisant,Autres,48.85118,2.397105,17,1
Restaurant,Satisfaisant,Autres,48.825266,2.361546,46,2
Restaurant,Très satisfaisant,Autres,48.792626,2.461363,11,4
Restauration collective,Satisfaisant,Autres,48.823487,2.37123,45,3
Restaurant,Très satisfaisant,Autres,48.845887,2.383407,16,4
Restaurant,Satisfaisant,Autres,48.814471,2.396848,26,3
Restaurant,Satisfaisant,Autres,48.845148,2.381306,4,3
Restaurant,Très satisfaisant,Autres,48.871472,2.328061,25,4
Restauration collective,Satisfaisant,Autres,48.849689,2.376028,6,4
Restauration collective,Très satisfaisant,Autres,48.782748,2.470968,11,2
Restaurant,Satisfaisant,Autres,48.912979,2.437461,45,3
Restauration collective,Satisfaisant,Autres,48.700489,2.550441,13,2
Restaurant,Satisfaisant,Autres,48.869706,2.370514,47,4
Restaurant,Satisfaisant,Autres,48.843115,2.295432,20,4
Restauration collective,Satisfaisant,Autres,48.886151,2.367334,21,3
Restauration collective,Très satisfaisant,Autres,48.889936,2.487476,16,3
Restaurant,Satisfaisant,Autres,48.873896,2.345202,46,2
Boucherie-Charcuterie,Satisfaisant,Autres,48.603184,2.467566,23,2
Restaurant,Satisfaisant,Autres,48.87568,2.341707,12,1
Libre service,Très satisfaisant,Autres,48.803471,2.489012,45,2
Restaurant,Satisfaisant,Autres,48.85838,2.382659,36,3
Restauration collective,Très satisfaisant,Autres,48.881007,2.193117,14,5
Restaurant,Très satisfaisant,Autres,48.848434,2.282706,11,5
Restaurant,Satisfaisant,Autres,48.845477,2.342548,2,4
Restaurant,Satisfaisant,Autres,48.858388,2.481751,47,4
Autres,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.796073,2.500616,24,3
Boucherie-Charcuterie,Très satisfaisant,Autres,48.832371,2.287205,9,1
Restaurant,Très satisfaisant,Autres,48.890769,2.376036,41,5
Restaurant,Satisfaisant,Autres,48.872992,2.34059,23,2
Restaurant,Satisfaisant,Autres,48.883635,2.34254,45,3
Autres,Très satisfaisant,Transport et entreposage de denrées alimentaires,48.864999,2.358702,38,3
Restaurant,Satisfaisant,Autres,48.851387,2.344537,20,1
Restaurant,Très satisfaisant,Autres,48.853481,2.295089,35,2
Libre service|Alimentation générale,Très satisfaisant,Autres,48.831651,2.324655,9,5
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,48.869674,2.464222,10,2
Autres,Très satisfaisant,Autres,48.83917,2.299903,49,1
Restaurant,Satisfaisant,Autres,48.846142,2.286542,11,5
Restaurant,Satisfaisant,Autres,48.861542,2.348712,11,1
Restauration collective,Satisfaisant,Autres,48.845587,2.378507,5,4
Restaurant,Très satisfaisant,Autres,48.870469,2.299159,11,4
Restaurant,Satisfaisant,Autres,48.891215,2.368685,45,4
Restauration collective,Très satisfaisant,Autres,48.806347,2.549644,49,1
Restauration collective,Satisfaisant,Autres,48.825248,2.115983,3,3
Restaurant,Satisfaisant,Autres,48.850786,2.345025,39,2
Restauration collective,Satisfaisant,Autres,48.923264,2.031472,9,2
Restaurant,Très satisfaisant,Autres,48.861836,2.288925,29,3
Restauration collective,Satisfaisant,Autres,48.86362,2.355172,7,3
Restaurant,Satisfaisant,Autres,48.856571,2.373245,49,3
Libre service,Satisfaisant,Autres,48.904155,2.392338,46,3
Restaurant,Satisfaisant,Autres,48.858093,2.287908,33,4
Restaurant,Très satisfaisant,Autres,48.896169,2.32832,45,3
Restaurant,Satisfaisant,Autres,48.860294,2.275925,13,2
Restaurant,Très satisfaisant,Autres,48.85364,2.338841,46,3
Restaurant,Satisfaisant,Autres,48.853796,2.36473,8,5
Restaurant,Satisfaisant,Autres,48.849077,2.374576,20,2
Restaurant,Satisfaisant,Autres,48.86106,2.309192,25,2
Restaurant,Très satisfaisant,Autres,48.859582,2.347821,35,1
Restaurant,Satisfaisant,Autres,48.848752,2.287478,43,5
Restaurant,Satisfaisant,Autres,48.874565,2.38335,45,4
Boucherie-Charcuterie,Satisfaisant,Autres,48.969891,2.400821,43,2
Restaurant,Satisfaisant,Autres,48.843546,2.315395,10,3
Libre service,Très satisfaisant,Autres,48.83917,2.299903,49,1
Libre service|Alimentation générale,Satisfaisant,Autres,48.830801,2.325397,10,4
Restaurant,Très satisfaisant,Autres,48.843222,2.31326,12,2
Restauration collective,Satisfaisant,Autres,48.885746,2.315801,3,3
Restaurant,A corriger de manière urgente,Autres,48.889349,2.36292,22,3
Restaurant,Très satisfaisant,Autres,48.879181,2.297002,12,1
Boucherie-Charcuterie,Satisfaisant,Autres,48.894022,2.372903,37,4
Restaurant,Satisfaisant,Autres,48.897382,2.384921,13,2
Restaurant,Satisfaisant,Autres,48.887015,2.347462,37,3
Restaurant,Satisfaisant,Autres,48.829633,2.374801,47,2
Restaurant,Très satisfaisant,Autres,48.840693,2.316473,18,2
Restaurant,Très satisfaisant,Autres,48.850201,2.368817,24,4
Restaurant,Satisfaisant,Autres,48.88409,2.346359,46,3
Libre service|Alimentation générale,Satisfaisant,Autres,48.894022,2.372903,37,3
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,48.789046,2.793401,31,4
Restaurant,Très satisfaisant,Autres,48.879391,2.291754,46,3
Restaurant,Satisfaisant,Autres,48.865159,2.372674,32,1
Restauration collective,Très satisfaisant,Autres,48.828174,2.367211,28,3
Poissonnerie,Satisfaisant,Autres,48.88168,2.419609,11,3
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,48.789046,2.793401,31,4
Boucherie-Charcuterie,Satisfaisant,Autres,48.614851,3.183296,3,2
Caves d'affinage,Satisfaisant,Lait et produits laitiers,48.789046,2.793401,31,4
Boulangerie-Pâtisserie,Très satisfaisant,Autres,48.832371,2.287205,9,1
Découpe de viande de boucherie,Satisfaisant,Viandes et produits carnés,48.755649,2.358281,19,4
Restaurant,Satisfaisant,Autres,48.827031,2.24737,10,3
Restaurant,Satisfaisant,Autres,48.793736,2.446539,47,5
Restaurant,Satisfaisant,Autres,48.857446,2.274922,12,4
Restauration collective,Très satisfaisant,Autres,48.840106,2.551491,14,4
Transformation de produits de la pêche,Très satisfaisant,Produits de la mer et d'eau douce,48.869674,2.464222,10,2
Restauration collective,Satisfaisant,Autres,48.830607,2.306063,44,5
Restaurant,Très satisfaisant,Autres,48.865719,2.374387,47,1
Restauration collective,Satisfaisant,Autres,48.836361,2.230671,32,3
Restaurant,Satisfaisant,Autres,48.823457,2.365802,40,4
Libre service|Alimentation générale,Très satisfaisant,Autres,48.798118,2.48127,45,2
Restaurant,Très satisfaisant,Autres,48.895611,2.382942,2,4
Restaurant,Satisfaisant,Autres,48.88268,2.380433,37,3
Restaurant,Satisfaisant,Autres,48.888775,2.317963,46,4
Libre service|Alimentation générale,Très satisfaisant,Autres,48.884601,2.363719,7,5
Restauration collective,Satisfaisant,Autres,48.850527,2.291052,19,1
Restaurant,Satisfaisant,Autres,48.819032,2.392287,46,3
Restaurant,Satisfaisant,Autres,48.847645,2.342394,46,2
Libre service|Alimentation générale,Satisfaisant,Autres,48.890431,2.371659,11,4
Restaurant,Satisfaisant,Autres,48.83504,2.400506,15,3
Libre service,Très satisfaisant,Autres,48.855251,2.379212,11,4
Libre service,Très satisfaisant,Autres,48.839467,2.308619,51,3
Autres,Très satisfaisant,Autres,48.859,2.347,45,2
Libre service,Satisfaisant,Autres,48.859,2.347,45,2
Restaurant,Satisfaisant,Autres,48.83588,2.351932,15,2
Boulangerie-Pâtisserie,A corriger de manière urgente,Autres,48.86774,2.497846,1,3
Restaurant,Satisfaisant,Autres,48.826778,2.359658,12,2
Restauration collective,Très satisfaisant,Autres,48.806353,2.40621,33,3
Autres,Satisfaisant,Autres,48.845172,2.388708,11,5
Restauration collective,Satisfaisant,Autres,48.807986,2.186538,49,1
Restaurant,Satisfaisant,Autres,48.861699,2.352816,43,3
Libre service,Très satisfaisant,Autres,48.847326,2.286338,5,1
Entreposage de distribution de denrées alimentaires,Satisfaisant,Transport et entreposage de denrées alimentaires,48.965883,2.059708,36,3
Restaurant,Satisfaisant,Autres,48.818581,2.322846,24,3
Restauration collective,Satisfaisant,Autres,48.868423,2.370727,12,3
Restauration collective,Satisfaisant,Autres,48.535822,2.173796,12,3
Boucherie-Charcuterie,Satisfaisant,Autres,48.880158,2.36379,12,2
Restaurant,Satisfaisant,Autres,48.845457,2.346211,46,2
Restaurant,Très satisfaisant,Autres,48.888823,2.317626,46,4
